source_id,target_id,matching
33161,207390654,False
36258,208085180,False
17417,90125786,False
34309,208504304,False
8060,90138537,False
5644,209297154,False
33638,208114686,False
27857,203445749,False
30585,206179525,False
26059,206678505,False
22798,202827684,False
33047,203185276,False
35694,208184891,True
27589,208456203,False
33157,207390655,False
38451,204505951,False
25111,209890560,False
28272,206160056,True
36962,202238311,False
32563,206615085,True
34056,205599984,False
33767,208105467,False
28554,203021705,False
34624,208504307,False
13581,207899810,False
33767,207391017,False
33637,209026630,False
17873,204222897,False
33948,206928608,False
33863,207391013,True
24346,207390671,False
29007,204274660,False
32874,202870184,False
31030,203514305,False
33586,206812380,False
30591,204939361,False
31030,206928744,False
31030,201953039,False
37045,206892248,False
33478,206888012,False
33921,210399907,False
34154,202899996,False
31397,206928359,False
33478,205844283,False
28175,204292470,False
34031,204793355,False
22382,207899810,False
33298,210460676,False
27793,204292470,False
31332,202812646,False
34136,208042977,False
33883,203087865,False
28256,207936135,False
16309,207536226,False
33471,207959814,False
8552,207464921,False
34552,209297157,False
32986,207538225,False
33044,201692660,False
33026,207899810,False
33496,208294727,False
32986,206179521,True
33922,208289990,False
34263,207900178,False
29820,203514371,False
33999,206928608,False
28180,205888207,False
33522,207390710,False
32431,90109367,False
17596,90120953,False
20454,201692695,False
28366,208504099,False
31414,90120953,False
34393,90141687,False
33967,207391023,False
33490,204569335,False
36345,208930722,False
25550,203934122,False
34728,207534895,True
33452,207667994,True
36999,207643194,False
24921,208504178,False
36286,207554111,False
33586,210227285,False
29825,208715736,False
30197,209891039,False
33581,207388759,True
34379,207642355,False
19628,203022202,False
36957,207544265,False
33562,205844283,False
33668,208504437,False
32878,202870174,False
20447,207390682,False
28350,207543191,False
29823,203131413,False
32314,204679144,False
33485,207465595,False
25749,202827715,True
33476,205467942,False
34130,208111904,False
34349,207637777,False
34156,203952966,False
33444,206808434,False
33488,210256478,False
31176,205592439,False
32986,202537969,False
34003,210520736,False
30951,210399746,False
34007,207660497,True
28981,204519849,False
36957,203136113,False
34007,207919773,False
34941,208504307,True
38231,201744288,True
25814,208504394,False
34065,207465587,False
33863,205985718,False
32664,209975310,True
33175,206160056,False
34153,208656497,False
32059,208453648,False
27188,204292470,False
27197,202619749,False
28397,203087319,True
36207,10363070,True
30203,208455893,False
13996,206722262,False
26346,206179525,False
16000,202870448,False
21267,205106048,False
23686,207390180,False
34033,208504178,False
26622,206928607,False
33478,208154550,True
30203,208111903,False
34033,207390706,False
26805,202973396,False
30951,209310241,False
33220,208653765,False
35843,207645242,True
32986,210441817,False
33220,207959814,False
34009,207900170,False
22101,203388440,False
32584,207660497,False
31970,207390709,False
29950,204519849,False
33948,208112356,False
26241,208456199,True
27186,204292477,True
37872,208941075,False
37150,208791918,True
33998,208296017,False
22382,90131941,True
35185,208456185,False
31881,10346525,False
33786,207543191,False
29099,204222472,True
34948,90145560,False
32340,205761530,True
14563,204519849,False
32416,205664913,True
37045,208791919,True
34363,208226689,False
24921,206160056,False
29806,90138537,False
34442,208111904,False
34401,208456199,False
20448,10373002,False
36812,207682339,False
31332,203086857,False
34465,209890796,True
28366,208670546,False
33471,206808445,False
33612,208937534,False
34092,207900177,False
33638,207391017,False
36249,208504437,True
16309,204254738,False
34300,206854516,False
28979,204559214,False
33586,210520736,False
30533,209656959,False
32986,204206934,False
34012,201935171,False
25776,202473822,False
38640,209890560,True
33922,208112355,False
33477,208653765,False
34719,207543188,True
31414,90139261,False
33790,208653765,False
31414,90145561,False
35591,208171946,True
33522,207390706,False
33377,203514371,False
34379,207900174,False
32990,207934192,False
32405,206870284,False
34012,207660498,False
25829,90145560,False
34280,207900178,False
33471,205844265,False
33471,208653767,False
31332,205777541,False
33485,207390617,False
28272,90148541,False
20447,204563770,False
37110,207390496,False
30389,202813304,True
27857,207666382,False
33938,208464828,False
33671,208715747,False
18970,202045875,False
32314,210258472,False
16877,208294716,False
33455,208112354,False
33769,207934192,False
33564,210227260,False
33047,201953025,False
33767,207910212,False
21989,204792884,False
33298,207643190,False
38399,204274645,False
15046,208294904,False
33209,208653765,True
33769,204563770,False
33280,207390709,False
34609,210441817,False
33924,208289990,False
36102,208937534,False
23651,202784323,True
29612,207907550,False
34056,208294727,False
17417,206576716,False
19132,202778315,True
33638,208112356,False
34004,207686156,False
31332,203329569,False
33566,208154854,False
34000,208455897,False
27793,208464828,False
38619,207895085,False
29273,202070807,True
34021,207919773,False
24572,202537969,True
25388,90120953,False
33467,207390618,False
28951,210252184,False
32875,90105156,False
33713,206812380,True
33444,207390644,False
25749,90145560,False
27182,206854516,False
30203,208156276,False
28350,207543197,False
33177,205844283,False
38480,202125720,False
33496,210399746,False
33522,205599985,False
22101,201953026,False
37811,208114675,False
29238,207465587,False
34961,208114683,True
34033,207986293,False
